,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Comment,Name,Repository,URL / DAG_ID,Type,Type Details,Optional,Base branch,Responsible (internal),Responsible (community),API Spec,Documentation,Postman Collection,Storage,SQL,Datastore,Elasticsearch,Image prefix,Container Name / Path to storage,Version variable
,WITSML Parser,https://community.opengroup.org/osdu/platform/data-flow/ingestion/energistics/witsml-parser,,dag,,optional,main,Yan,,,,,,,,,,dags/energistics/Energistics_xml_ingest.py,
,Energistics Content Delivery,https://community.opengroup.org/osdu/platform/data-flow/ingestion/energistics/energistics-catalog-content-delivery,,dag,,optional,main,Yan,,,,Postman%20Collection/49_CICD_EnergymlConverter_And_Delivery/EnergisticsParser.postman_collection.json,,,,,,dags/energistics-parser-dags/energyml-converter-dag-vk8s.py,
,Energistics Parser DAG,https://community.opengroup.org/osdu/platform/data-flow/ingestion/energistics/energistics-parser-dag,,dag,,optional,main,Yan,,,,,,,,,,,
,Bootstrap: legal data ,https://community.opengroup.org/osdu/platform/deployment-and-operations/base-containers-gcp/bootstrap-data,,data,,,,,,,,,,,,,bootstrap-legal,bootstrap-data-legal,
,Bootstrap: reference data,https://community.opengroup.org/osdu/platform/deployment-and-operations/base-containers-gcp/bootstrap-data,,data,,,,,,,,,,,,,bootstrap-reference,bootstrap-data-reference,
,Bootstrap: production core,,,data,,,,,,,,,,,,,bootstrap-dspdm,dspdm-bootstrap,
,Bootstrap: elastic,,,data,,,,,,,,,,,,,elastic-bootstrap,elastic-bootstrap,
,Bootstrap: entitlements,,,data,,,,,,,,,,,,,bootstrap-entitlements,entitlements-bootstrap,
,Bootstrap: partition,,,data,,,,,,,,,,,,,bootstrap-partition,partition-bootstrap,
,Bootstrap: schema,,,data,,,,,,,,,,,,,bootstrap-schema,schema-bootstrap,
,Bootstrap: workflow,,,data,,,,,,,,,,,,,bootstrap-workflow,workflow-bootstrap,
,partition-quarkus,,,util,,,,,,,,,,,,,partition-quarkus,partition-quarkus,
,redis-dataset,,,,,,,,,,,,,,,,,redis-dataset,
,redis-entitlements,,,,,,,,,,,,,,,,,redis-entitlements,
,redis-indexer,,,,,,,,,,,,,,,,,redis-indexer,
,redis-notification,,,,,,,,,,,,,,,,,redis-notification,
,redis-rafs-ddms,,,,,,,,,,,,,,,,,redis-rafs-ddms,
,redis-search,,,,,,,,,,,,,,,,,redis-search,
,redis-seismic-store,,,,,,,,,,,,,,,,,redis-seismic-store,
,redis-storage,,,,,,,,,,,,,,,,,redis-storage,
,Open Test Data,https://community.opengroup.org/osdu/platform/data-flow/data-loading/open-test-data,,data,,,master,,,,,,,,,,,,
,Data Definitions,https://community.opengroup.org/osdu/data/data-definitions,,data,,,master,,,,,,,,,,,,
,Open ZGY,https://community.opengroup.org/osdu/platform/domain-data-mgmt-services/seismic/open-zgy,,util,,,master,Yan,,,,,,,,,,,
,Open VDS,https://community.opengroup.org/osdu/platform/domain-data-mgmt-services/seismic/open-vds,,util,,,master,Yan,,,,,,,,,,,
,Seismic DMS sdutil,https://community.opengroup.org/osdu/platform/domain-data-mgmt-services/seismic/seismic-dms-suite/seismic-store-sdutil,,util,,,master,Yan,,,,,,,,,,,
,OS Core Common,https://community.opengroup.org/osdu/platform/system/lib/core/os-core-common,,lib,,,master,Java L3 Support,,,,,,,,,,,
,OS Core Lib GCP,https://community.opengroup.org/osdu/platform/system/lib/cloud/gcp/os-core-lib-gcp,,lib,,,master,Java L3 Support,,,,,,,,,,,
,Python SDK,https://community.opengroup.org/osdu/platform/system/sdks/common-python-sdk,,lib,,,master,Yan,,,,,,,,,,,
,Wellbore lib,https://community.opengroup.org/osdu/platform/domain-data-mgmt-services/wellbore/lib/wellbore-core/wellbore-core-lib,,lib,,,master,Yan,,,,,,,,,,,
,Wellbore Anthos lib,https://community.opengroup.org/osdu/platform/domain-data-mgmt-services/wellbore/lib/wellbore-cloud/wellbore-anthos-lib,,lib,,,master,Yan,,,,,,,,,,,
,Wellbore GCP lib,https://community.opengroup.org/osdu/platform/domain-data-mgmt-services/wellbore/lib/wellbore-cloud/wellbore-gcp-lib,,lib,,,master,Yan,,,,,,,,,,,
,GC OBM,https://community.opengroup.org/osdu/platform/system/lib/cloud/gcp/gc-obm,,lib,,,main,Java L3 Support,,,,,,,,,,,
,GC APD,https://community.opengroup.org/osdu/platform/system/lib/cloud/gcp/gc-apd,,lib,,,main,Java L3 Support,,,,,,,,,,,
,GC SD,https://community.opengroup.org/osdu/platform/system/lib/cloud/gcp/gc-sd,,lib,,,main,Java L3 Support,,,,,,,,,,,
,GC OQM,https://community.opengroup.org/osdu/platform/system/lib/cloud/gcp/gc-oqm,,lib,,,main,Java L3 Support,,,,,,,,,,,
,GC OSM,https://community.opengroup.org/osdu/platform/system/lib/cloud/gcp/gc-osm,,lib,,,main,Java L3 Support,,,,,,,,,,,
,OS OBM,https://community.opengroup.org/osdu/platform/system/lib/drivers/os-obm,,lib,,,main,Java L3 Support,,,,,,,,,,,
,OS SD,https://community.opengroup.org/osdu/platform/system/lib/drivers/os-sd,,lib,,,main,Java L3 Support,,,,,,,,,,,
,APD,https://community.opengroup.org/osdu/platform/system/lib/drivers/apd,,lib,,,main,Java L3 Support,,,,,,,,,,,
,OS OQM,https://community.opengroup.org/osdu/platform/system/lib/drivers/os-oqm,,lib,,,main,Java L3 Support,,,,,,,,,,,
,Energistics Commons,https://community.opengroup.org/osdu/platform/data-flow/ingestion/energistics/commons,,lib,,,main,Yan,,,,,,,,,,,
,Energistics Parser lib,https://community.opengroup.org/osdu/platform/data-flow/ingestion/energistics/energistics-parser-dag,,lib,,,master,Yan,,,,,,,,,,,
,OSDU ingestion lib,https://community.opengroup.org/osdu/platform/data-flow/ingestion/osdu-ingestion-lib,,lib,,,master,Yan,,,,,,,,,,,
,OSDU airflow lib,https://community.opengroup.org/osdu/platform/data-flow/ingestion/osdu-airflow-lib,,lib,,,master,Yan,,,,,,,,,,,
,PROD ML Parser,https://community.opengroup.org/osdu/platform/data-flow/ingestion/energistics/prodml-parser,,lib,,optional,main,Yan,,,,,,,,,,"dags/energistics/energyml-converter-dag.py,dags/energistics/energyml-epc-h5-delivery.py",
,RESQML Parser,https://community.opengroup.org/osdu/platform/data-flow/ingestion/energistics/resqml-parser,,lib,,optional,main,Yan,,,,,,,,,,,
,Deployment Framework,https://community.opengroup.org/osdu/platform/deployment-and-operations/base-containers-gcp/gc-k8s-module,,dao,,,main,Oleksandr,,,,,,,,,,,
,GC Infra,https://community.opengroup.org/osdu/platform/deployment-and-operations/infra-gcp-provisioning,,dao,,,master,Oleksandr,,,,,,,,,,,
